,Image,F1,Jaccard,Recall,Precision
0,833.png,0.946160635,0.897822446,0.943661972,0.948672566
1,2069.png,0.738123282,0.584940884,1,0.584940884
2,3038.png,0.876500698,0.312767257,0.797507788,0.339747843
3,1169.png,0.966960352,0.936034115,0.94612069,0.988738739
4,501.png,0.947692308,0.900584795,0.907216495,0.99194847
5,31.png,0.96099128,0.924911661,0.927369353,0.997142857
6,2242.png,0.911467324,0.83733575,0.89060241,0.933333333
7,1014.png,0.908507223,0.832352941,0.839762611,0.98951049
8,1322.png,0.889534884,0.80104712,0.80952381,0.987096774
9,1779.png,0.888446215,0.799283154,0.877952756,0.899193548
10,1217.png,0.954098361,0.912225705,0.932692308,0.976510067
11,1956.png,0.943970767,0.893886967,0.905373832,0.986005089
12,108.png,0.948412698,0.901886792,0.903164856,0.99843342
13,1258.png,0.939443535,0.885802469,0.976190476,0.905362776
14,571.png,0.966836735,0.935802469,0.94278607,0.992146597
15,1888.png,0.94887218,0.02504817,0.036931818,0.072222222
16,35.png,0.935483871,0.878787879,0.943089431,0.928
17,2162.png,0.827407886,0.705622933,0.970579315,0.721045516
18,2582.png,0.947466295,0.900176678,0.982642237,0.914721724
19,1279.png,0.871164021,0.156847743,0.157450077,0.976190476
20,749.png,0.74489567,0.593493028,0.616871052,0.93997735
21,2122.png,0.852266456,0.012774451,0.019937695,0.034334764
22,2928.png,0.886461627,0.796076407,0.975332068,0.812434141
23,74.png,0.974613687,0.950484392,0.988801792,0.960826986
24,788.png,0.830735274,0.71047664,0.713000237,0.995042961
25,707.png,0.977906717,0.956768559,0.978999106,0.976816763
26,1678.png,0.955752212,0.915254237,0.958579882,0.952941176
27,909.png,0.904510557,0.825667981,0.827298661,0.997618418
28,218.png,0.875117371,0.777963272,0.978991597,0.791171477
29,2046.png,0.925981873,0.862165963,0.879483501,0.977671451
30,3.png,0.964052896,0.930600503,0.97586727,0.952521163
31,1270.png,0.67281106,0.506944444,0.688679245,0.657657658
32,573.png,0.961373391,0.925619835,0.97633873,0.946859903
33,861.png,0.951219102,0.143653846,0.144013881,0.982894737
34,2463.png,0.862815884,0.151288446,0.997260274,0.151351351
35,1326.png,0.918635171,0.849514563,0.85995086,0.985915493
36,528.png,0.954630205,0.913198573,0.994818653,0.917562724
37,461.png,0.882758621,0.790123457,0.914285714,0.853333333
38,803.png,0.774652241,0.632189707,0.728065078,0.827608983
39,1392.png,0.963702359,0.929947461,0.963702359,0.963702359
40,298.png,0.892857143,0.806451613,0.830258303,0.965665236
41,3005.png,0.730124392,0.574957411,0.991189427,0.577910959
42,1239.png,0.917385943,0.84738041,0.948979592,0.887828162
43,2839.png,0,0,0,0
44,2605.png,0.676755448,0.511436414,0.953924915,0.524390244
45,1529.png,0.94486692,0.895495495,0.94486692,0.94486692
46,574.png,0.905019305,0.82651622,0.997446809,0.828268551
47,2574.png,0.923603974,0.858052196,0.926460481,0.920765027
48,1702.png,0.916666667,0.846153846,0.983739837,0.858156028
49,1732.png,0.814701378,0.687338501,0.998123827,0.688227684
50,1266.png,0,0,0,0
51,1808.png,0.694244604,0.531680441,1,0.531680441
52,1085.png,0.706827309,0.546583851,0.552301255,0.981412639
53,653.png,0.977596741,0.956175299,0.971098266,0.984182777
54,2791.png,0.557762238,0.386733902,0.388239875,0.990069513
55,1187.png,0.971608833,0.944785276,0.952086553,0.99194847
56,2744.png,0.726943942,0.571022727,0.624223602,0.87012987
57,1023.png,0.924454393,0.859521332,0.896851249,0.953810624
58,1667.png,0.995454545,0.246458924,0.271875,0.725
59,904.png,0.960957834,0.924849699,1,0.924849699
60,701.png,0.951042997,0.906655844,0.913327882,0.992007105
61,381.png,0.932400932,0.873362445,0.961538462,0.904977376
62,478.png,0,0,0,0
63,1354.png,0.943918427,0.893793103,0.992343032,0.9
64,2701.png,0.959344038,0.921864741,0.941649899,0.977715877
65,1689.png,0.878892734,0.783950617,0.935198822,0.828981723
66,2672.png,0.928058813,0.865774004,0.895608108,0.96294951
67,2524.png,0.652291105,0.484,0.645907473,0.658802178
68,2026.png,0,0,0,0
69,2356.png,0.867867362,0.766577461,0.92104323,0.820496499
70,527.png,0.92293578,0.856899489,0.994071146,0.86130137
71,1142.png,0.915254237,0.84375,0.991525424,0.849878935
72,1562.png,0.545289855,0.374844334,0.99339934,0.375780275
73,1668.png,0.932450331,0.873449132,0.926315789,0.938666667
74,1837.png,0.956725146,0.917040359,0.984356197,0.930602958
75,294.png,0.955266955,0.914364641,0.923291492,0.989536622
76,2157.png,0.655922643,0.488009592,0.488009592,1
77,2528.png,0.829834748,0.709160305,0.983589201,0.717651603
78,2527.png,0.770582227,0.626786308,0.640190088,0.967675731
79,2075.png,0.628637951,0.458404075,0.551645857,0.730607336
80,2322.png,0.857526882,0.750588235,0.750588235,1
81,3034.png,0.898453608,0.815629387,0.821201413,0.991749644
82,1851.png,0.827930175,0.706382979,0.752265861,0.92051756
83,676.png,0.9577576,0.918939394,0.927370031,0.990204082
84,1818.png,0.894849785,0.809708738,0.967517401,0.832335329
85,2906.png,0,0,0,0
86,1840.png,0.815198618,0.688046647,0.995780591,0.69005848
87,560.png,0.509693053,0.34200542,0.34200542,1
88,1337.png,0.901544402,0.820738137,0.98940678,0.828014184
89,1384.png,0.774857143,0.632462687,1,0.632462687
90,2936.png,0.928429861,0.866420058,0.965201465,0.894357234
91,1579.png,0.955572876,0.914925373,0.97611465,0.935877863
92,678.png,0.962339744,0.927413127,0.93754879,0.988477366
93,555.png,0.963448922,0.929475588,0.973484848,0.953617811
94,1885.png,0.661040788,0.493697479,1,0.493697479
95,2471.png,0.582709326,0.411143132,0.988452656,0.413127413
96,1769.png,0.974677003,0.950604839,0.977202073,0.972164948
97,1720.png,0.875739645,0.778947368,0.808743169,0.95483871
98,2465.png,0.756822317,0.608780488,0.994422311,0.610866373
99,2255.png,0.632108074,0.462103813,0.466604824,0.979552093
100,1960.png,0,0,0,0
101,21.png,0.948225334,0.901547988,0.99047619,0.909431605
102,26.png,0.880952381,0.787234043,1,0.787234043
103,2405.png,0.85639413,0.748854262,0.750229568,0.997557998
104,335.png,0.904645477,0.825892857,0.846681922,0.971128609
105,893.png,0.944504897,0.894845361,0.966592428,0.923404255
106,2606.png,0.735303364,0.58140691,0.723924482,0.747045672
107,11.png,0.961710274,0.926244622,0.977302205,0.94660804
108,2980.png,0.947712418,0.900621118,0.908521303,0.990437158
109,3011.png,0.548488008,0.377873563,0.988721805,0.37950938
110,717.png,0.269210387,0.155541947,0.156645082,0.956685499
111,277.png,0.986111111,0.97260274,0.984867591,0.987357775
112,2979.png,0.947842885,0.900856793,0.913151365,0.985274431
113,2275.png,0.803899513,0.672100313,0.678481013,0.986200552
114,1866.png,0.5893186,0.417754569,0.417754569,1
115,1344.png,0.919463087,0.850931677,0.88961039,0.951388889
116,2137.png,0.831083845,0.710986704,0.870608398,0.794992175
117,2072.png,0.687293482,0.523569794,0.943894389,0.540387341
118,1137.png,0.93271028,0.873905429,0.880070547,0.992047714
119,1906.png,0.810121012,0.680843195,0.9578564,0.70186809
120,1495.png,0.952601156,0.909492274,0.96713615,0.938496583
121,694.png,0.850786761,0.740321058,0.892938497,0.812435233
122,336.png,0.970135747,0.942003515,0.952042629,0.988929889
123,1560.png,0.949781659,0.904365904,0.97752809,0.923566879
124,1546.png,0.933656174,0.875567666,0.997929607,0.877161056
